id,category,subcategory,name,shortDesc,description,priceRange,stone,metal,weight,cert,featured,imagePath,videoPath
royal-choker,chokers,chokers,The Royal Choker,Heritage & Classic,"A regal choker crafted with exceptional diamonds, designed for the modern queen who honors tradition.",₹2L - ₹4L,Diamond,18k Gold,2.5ct total,BIS Hallmarked,FALSE,products/chokers/royal-choker/hero.jpg,
pearl-choker,chokers,chokers,The Pearl Choker,Heritage & Classic,"Timeless pearls woven with delicate gold, creating a piece that bridges generations.",₹1.5L - ₹3L,South Sea Pearl,22k Gold,35ct total,BIS Hallmarked,FALSE,products/chokers/pearl-choker/hero.jpg,
diamond-collar,chokers,chokers,The Diamond Collar,"High Jewelry • 3ct","A bold statement piece featuring 3 carats of carefully selected diamonds in a contemporary collar design.",₹5L - ₹8L,Diamond,Platinum,3ct total,GIA Certified,FALSE,products/chokers/diamond-collar/hero.jpg,
maharani-viraasat,necklaces,necklaces,The Maharani Viraasat Necklace,"Masterpiece • Rubies","A profound exploration of deep reds and structural platinum, echoing the intensity of a blood moon.",₹15L - ₹25L,Burmese Rubies,Platinum,45ct total,GIA Certified,TRUE,products/necklaces/maharani-viraasat/hero.jpg,products/necklaces/maharani-viraasat/video.mp4
raj-tilak-emerald,necklaces,necklaces,The Raj Tilak Emerald,"Masterpiece • Emerald","Regal emeralds set in 18k gold, inspired by the grandeur of Indian royalty.",₹12L - ₹20L,Zambian Emerald,18k Gold,38ct total,GIA Certified,TRUE,products/necklaces/raj-tilak-emerald/hero.jpg,products/necklaces/raj-tilak-emerald/video.mp4
solitaire-strand,necklaces,necklaces,The Solitaire Strand,"Classic • Diamonds","A stunning strand of solitaire diamonds, each individually set for maximum brilliance.",₹8L - ₹15L,Diamond,18k White Gold,8ct total,GIA Certified,FALSE,products/necklaces/solitaire-strand/hero.jpg,
celestial-chandelier,chandeliers,earrings,The Celestial Chandelier,"Statement • 5ct","Dramatic chandelier earrings that cascade with 5 carats of brilliant diamonds.",₹3L - ₹6L,Diamond,Platinum,5ct total,GIA Certified,FALSE,products/chandeliers/celestial-chandelier/hero.jpg,
royal-drops,chandeliers,earrings,The Royal Drops,"Statement • Ruby","Elegant drop earrings featuring vivid rubies surrounded by a halo of diamonds.",₹2.5L - ₹5L,Ruby + Diamond,18k Gold,4ct total,GIA Certified,FALSE,products/chandeliers/royal-drops/hero.jpg,
emerald-cascade,chandeliers,earrings,The Emerald Cascade,"Statement • Emerald","Cascading emeralds create a waterfall of green, framed by delicate diamond settings.",₹4L - ₹7L,Emerald + Diamond,Platinum,6ct total,GIA Certified,FALSE,products/chandeliers/emerald-cascade/hero.jpg,
ekta-lineage,bracelets,bracelets,The Ekta Lineage Bracelet,"High Jewelry • 12ct D-Flawless","A breathtaking bracelet featuring a cascade of 12 carats of D-Flawless diamonds in a heritage legacy setting.",₹8L - ₹12L,Diamond,Platinum,12ct total,GIA Certified,TRUE,products/bracelets/ekta-lineage/hero.jpg,products/bracelets/ekta-lineage/video.mp4
diamond-tennis,bracelets,bracelets,The Diamond Tennis,"Classic • 3ct","The timeless tennis bracelet reimagined with 3 carats of perfectly matched diamonds.",₹3L - ₹5L,Diamond,18k White Gold,3ct total,GIA Certified,FALSE,products/bracelets/diamond-tennis/hero.jpg,
vintage-bangle,bracelets,bracelets,The Vintage Bangle,"Heritage • Gold","A vintage-inspired bangle with intricate gold work and subtle diamond accents.",₹2L - ₹4L,Diamond Accent,22k Gold,28g,BIS Hallmarked,FALSE,products/bracelets/vintage-bangle/hero.jpg,
raj-bangles,bangles,bangles,The Raj Bangles,"Bridal • Gold","A pair of ornate bangles inspired by royal Indian craftsmanship, perfect for bridal occasions.",₹4L - ₹7L,Ruby + Diamond,22k Gold,65g pair,BIS Hallmarked,FALSE,products/bangles/raj-bangles/hero.jpg,
kangan-set,bangles,bangles,The Kangan Set,"Bridal • Diamond","An exquisite set of diamond kangan bangles, each handcrafted with meticulous attention to detail.",₹6L - ₹10L,Diamond,18k Gold,4.5ct total,GIA Certified,TRUE,products/bangles/kangan-set/hero.jpg,
bridal-chooda,bangles,bangles,The Bridal Chooda,"Bridal • Gold","Traditional bridal chooda bangles reimagined with modern elegance and diamond embellishments.",₹2L - ₹4L,Diamond + Enamel,22k Gold,55g set,BIS Hallmarked,FALSE,products/bangles/bridal-chooda/hero.jpg,
celestial-solitaire,rings,rings,The Celestial Solitaire,"Solitaire • 2.5ct","A magnificent 2.5 carat solitaire set in platinum, designed to capture light from every angle.",₹3L - ₹6L,"Diamond 2.5ct",Platinum,2.5ct,GIA Certified,TRUE,products/rings/celestial-solitaire/hero.jpg,
halo-ring,rings,rings,The Halo Ring,"Fashion • 1.5ct","A delicate halo ring with a 1.5 carat center stone surrounded by a ring of brilliant diamonds.",₹1.5L - ₹3L,"Diamond 1.5ct",18k White Gold,"1.5ct + 0.5ct halo",GIA Certified,FALSE,products/rings/halo-ring/hero.jpg,
three-stone-ring,rings,rings,The Three-Stone Ring,"Statement • 3ct","A powerful three-stone design representing past, present, and future — 3 carats of pure brilliance.",₹4L - ₹8L,"Diamond 3ct total",Platinum,3ct total,GIA Certified,FALSE,products/rings/three-stone-ring/hero.jpg,
stardust-studs,studs,earrings,The Stardust Studs,"Daily Wear • 1.8ct","Everyday elegance with 1.8 carats of brilliant diamond studs, perfect for any occasion.",₹1L - ₹2.5L,Diamond,18k White Gold,"1.8ct pair",GIA Certified,FALSE,products/studs/stardust-studs/hero.jpg,
princess-studs,studs,earrings,The Princess Studs,"Daily Wear • 1ct","Classic princess-cut diamond studs that pair effortlessly with any look.",₹80K - ₹1.5L,"Diamond (Princess Cut)",18k White Gold,"1ct pair",GIA Certified,FALSE,products/studs/princess-studs/hero.jpg,
diamond-drops,studs,earrings,The Diamond Drops,"Fashion • 2ct","Elegant drop studs with 2 carats of diamonds, designed for the woman who appreciates understated luxury.",₹1.5L - ₹3L,Diamond,Platinum,"2ct pair",GIA Certified,FALSE,products/studs/diamond-drops/hero.jpg,
